,GM,P,Phase,T,X(C),X(FE),"Y(FCC_A1,0,FE)","Y(FCC_A1,1,C)","Y(FCC_A1,1,VA)"
1805,7826.664433658732,774263682.6811278,FCC_A1,800.0,0.43952762344148283,0.5604723765585172,1.0,0.7842092524529496,0.2157907475470504
1806,-21288.629576861033,774263682.6811278,FCC_A1,800.0,0.06753032705694106,0.9324696729430588,1.0,0.07242093659067966,0.9275790634093203
1807,-3960.598484464606,774263682.6811278,FCC_A1,800.0,0.33911734957851347,0.6608826504214864,1.0,0.5131279348341752,0.48687206516582476
1808,-8001.715954798969,774263682.6811278,FCC_A1,800.0,0.29440060207661023,0.7055993979233898,1.0,0.41723476939329057,0.5827652306067095
1809,-16418.668702203955,774263682.6811278,FCC_A1,800.0,0.17273958699287792,0.827260413007122,1.0,0.20880920237070594,0.791190797629294
1810,15441.096931143287,774263682.6811278,FCC_A1,800.0,0.4871155270238857,0.5128844729761143,1.0,0.9497568218380659,0.050243178161934104
1811,-13532.174206184209,774263682.6811278,FCC_A1,800.0,0.2201242602584026,0.7798757397415975,1.0,0.28225555564959376,0.7177444443504063
1812,18027.94730917286,774263682.6811278,FCC_A1,800.0,0.499999999975,0.500000000025,1.0,0.9999999999,9.999999999e-11
1813,-23053.611500647894,774263682.6811278,FCC_A1,800.0,0.0,1.0,1.0,0.0,1.0
1814,18012.96973232137,774263682.6811278,FCC_A1,800.0,0.4999459411753805,0.5000540588246195,1.0,0.9997837880778467,0.00021621192215327513
1815,17858.786338542654,774263682.6811278,FCC_A1,800.0,0.49930352181417914,0.5006964781858207,1.0,0.9972179625135598,0.0027820374864401497
1816,18027.946347250647,774263682.6811278,FCC_A1,800.0,0.4999999976283814,0.5000000023716186,1.0,0.9999999905135256,9.486474353018223e-09
1817,18027.945478413352,774263682.6811278,FCC_A1,800.0,0.4999999954141957,0.5000000045858043,1.0,0.9999999816567829,1.8343217072612793e-08
1818,-13728.849552604355,774263682.6811278,FCC_A1,800.0,0.2171216720821679,0.7828783279178322,1.0,0.2773376964714703,0.7226623035285298
1819,18026.8197848475,774263682.6811278,FCC_A1,800.0,0.49999639892742553,0.5000036010725746,1.0,0.999985595813443,1.4404186557041994e-05
1820,18016.627325966558,774263682.6811278,FCC_A1,800.0,0.49995971189621186,0.500040288103788,1.0,0.999838860568852,0.00016113943114795374
1821,16057.012606377291,774263682.6811278,FCC_A1,800.0,0.4904128356001277,0.5095871643998723,1.0,0.9623728183532141,0.0376271816467859
1822,18027.947282860376,774263682.6811278,FCC_A1,800.0,0.49999999991629346,0.5000000000837066,1.0,0.9999999996651738,3.3482614281024546e-10
1823,17716.77407449266,774263682.6811278,FCC_A1,800.0,0.49867081356849896,0.5013291864315012,1.0,0.9946973506930152,0.005302649306984846
1824,12951.365857333512,774263682.6811278,FCC_A1,900.0,0.5,0.5,1.0,1.0,0.0
1825,-29542.13132689738,774263682.6811278,FCC_A1,900.0,0.0,1.0,1.0,0.0,1.0
1826,-14556.117982285574,774263682.6811278,FCC_A1,900.0,0.28860249407989835,0.7113975059201018,1.0,0.40568387108221293,0.5943161289177871
1827,-18763.95313418143,774263682.6811278,FCC_A1,900.0,0.2347499945252652,0.7652500054747349,1.0,0.3067624865675556,0.6932375134324443
1828,3596.230807898967,774263682.6811278,FCC_A1,900.0,0.4479309878815178,0.5520690121184821,1.0,0.8113677421644258,0.1886322578355742
1829,2336.2816302260367,774263682.6811278,FCC_A1,900.0,0.43952762344148283,0.5604723765585172,1.0,0.7842092524529496,0.2157907475470504
1830,-27787.9194138381,774263682.6811278,FCC_A1,900.0,0.06753032705694106,0.9324696729430588,1.0,0.07242093659067966,0.9275790634093203
1831,-9872.18135088457,774263682.6811278,FCC_A1,900.0,0.33911734957851347,0.6608826504214864,1.0,0.5131279348341752,0.48687206516582476
1832,-14057.459260093197,774263682.6811278,FCC_A1,900.0,0.29440060207661023,0.7055993979233898,1.0,0.41723476939329057,0.5827652306067095
